#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.0', start_date='2021-07-15T04:45:18', checksum=2366342461, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0015656,poe-0.0024511,poe-0.0038375,poe-0.0060080,poe-0.0094062,poe-0.0147264,poe-0.0230557,poe-0.0360962,poe-0.0565124,poe-0.0884762,poe-0.1385189,poe-0.2168661,poe-0.3395269,poe-0.5315656,poe-0.8322225,poe-1.3029331,poe-2.0398806,poe-3.1936504,poe-5.0000000
166.20000,-46.00000,0.00000,8.674158E-01,8.418591E-01,8.062236E-01,7.556153E-01,6.836284E-01,5.852576E-01,4.628524E-01,3.305193E-01,2.096118E-01,1.171654E-01,5.779183E-02,2.525319E-02,9.877146E-03,3.632284E-03,1.333921E-03,4.749891E-04,1.483880E-04,3.507951E-05,4.307848E-06,0.000000E+00
166.20000,-45.90000,0.00000,8.717952E-01,8.477982E-01,8.141091E-01,7.658781E-01,6.965418E-01,6.003425E-01,4.782626E-01,3.435692E-01,2.185581E-01,1.222412E-01,6.051121E-02,2.696179E-02,1.108129E-02,4.429970E-03,1.828096E-03,7.446301E-04,2.630558E-04,6.981024E-05,1.100671E-05,2.568799E-07
166.20000,-45.80000,0.00000,8.754871E-01,8.527094E-01,8.204968E-01,7.741019E-01,7.069944E-01,6.129754E-01,4.918589E-01,3.558196E-01,2.275751E-01,1.278026E-01,6.374327E-02,2.913670E-02,1.272075E-02,5.510493E-03,2.395373E-03,9.950325E-04,3.564521E-04,1.000441E-04,1.852258E-05,8.888115E-07
166.20000,-45.70000,0.00000,8.785645E-01,8.566702E-01,8.254709E-01,7.803698E-01,7.150250E-01,6.230649E-01,5.033630E-01,3.668877E-01,2.363220E-01,1.336021E-01,6.718700E-02,3.132715E-02,1.448179E-02,6.998366E-03,3.439497E-03,1.572013E-03,6.019839E-04,1.760791E-04,3.564332E-05,2.908947E-06
166.30000,-46.10000,0.00000,8.653477E-01,8.387996E-01,8.019641E-01,7.500076E-01,6.767052E-01,5.774851E-01,4.552602E-01,3.242439E-01,2.051693E-01,1.142583E-01,5.574657E-02,2.369739E-02,8.810220E-03,2.986362E-03,9.695978E-04,3.009790E-04,8.090737E-05,1.560205E-05,1.085238E-06,0.000000E+00
166.30000,-46.00000,0.00000,8.703769E-01,8.457497E-01,8.113722E-01,7.624312E-01,6.924353E-01,5.958490E-01,4.739874E-01,3.401573E-01,2.161630E-01,1.204687E-01,5.882241E-02,2.520433E-02,9.572569E-03,3.371438E-03,1.156744E-03,3.787371E-04,1.079883E-04,2.284728E-05,1.969419E-06,0.000000E+00
166.30000,-45.90000,0.00000,8.746690E-01,8.516192E-01,8.192267E-01,7.727647E-01,7.056873E-01,6.118293E-01,4.910854E-01,3.555261E-01,2.274830E-01,1.274092E-01,6.266644E-02,2.737300E-02,1.082184E-02,4.052147E-03,1.498902E-03,5.247926E-04,1.582584E-04,3.585078E-05,3.992887E-06,0.000000E+00
166.30000,-45.80000,0.00000,8.783179E-01,8.564980E-01,8.256132E-01,7.810842E-01,7.164964E-01,6.253629E-01,5.063795E-01,3.701545E-01,2.389885E-01,1.349903E-01,6.722338E-02,3.026560E-02,1.281868E-02,5.374094E-03,2.246281E-03,8.617811E-04,2.708154E-04,6.285471E-05,8.533467E-06,6.390670E-08
166.30000,-45.70000,0.00000,8.813618E-01,8.604385E-01,8.306062E-01,7.874767E-01,7.249078E-01,6.363469E-01,5.195357E-01,3.835506E-01,2.502026E-01,1.428237E-01,7.204220E-02,3.317284E-02,1.468144E-02,6.584089E-03,2.978036E-03,1.249920E-03,4.316461E-04,1.122975E-04,1.846126E-05,5.973736E-07
166.30000,-45.60000,0.00000,8.838186E-01,8.634822E-01,8.342807E-01,7.920381E-01,7.309701E-01,6.446420E-01,5.300863E-01,3.949444E-01,2.602767E-01,1.502352E-01,7.675698E-02,3.597972E-02,1.644379E-02,7.769973E-03,3.715290E-03,1.626731E-03,5.900758E-04,1.620145E-04,3.133701E-05,2.278793E-06
166.39999,-46.20000,0.00000,8.623763E-01,8.342835E-01,7.954125E-01,7.409439E-01,6.648968E-01,5.634259E-01,4.405456E-01,3.110859E-01,1.952121E-01,1.077976E-01,5.201121E-02,2.173670E-02,7.876745E-03,2.543895E-03,7.506093E-04,2.008379E-04,4.506040E-05,6.051819E-06,2.245284E-07,0.000000E+00
166.39999,-46.10000,0.00000,8.681026E-01,8.423038E-01,8.064051E-01,7.555764E-01,6.834436E-01,5.849611E-01,4.623311E-01,3.294834E-01,2.078497E-01,1.148083E-01,5.523201E-02,2.302250E-02,8.357812E-03,2.742065E-03,8.441889E-04,2.428040E-04,5.958575E-05,9.759702E-06,5.090134E-07,0.000000E+00
166.39999,-46.00000,0.00000,8.730439E-01,8.491876E-01,8.157875E-01,7.680732E-01,6.995035E-01,6.041806E-01,4.826416E-01,3.475288E-01,2.209768E-01,1.226281E-01,5.920059E-02,2.485304E-02,9.163771E-03,3.095795E-03,1.000356E-03,3.049786E-04,7.995971E-05,1.489390E-05,1.013093E-06,0.000000E+00
166.39999,-45.90000,0.00000,8.772997E-01,8.550283E-01,8.236398E-01,7.784959E-01,7.130986E-01,6.210370E-01,5.013916E-01,3.652004E-01,2.346904E-01,1.314583E-01,6.414340E-02,2.740101E-02,1.037164E-02,3.613559E-03,1.208267E-03,3.827866E-04,1.063198E-04,2.211508E-05,1.834013E-06,0.000000E+00
166.39999,-45.80000,0.00000,8.809122E-01,8.598812E-01,8.300344E-01,7.869231E-01,7.242686E-01,6.354518E-01,5.183430E-01,3.821854E-01,2.487111E-01,1.411037E-01,6.998768E-02,3.077869E-02,1.227648E-02,4.611569E-03,1.654457E-03,5.445229E-04,1.535065E-04,3.292752E-05,3.667531E-06,0.000000E+00
166.39999,-45.70000,0.00000,8.839217E-01,8.638024E-01,8.350525E-01,7.934512E-01,7.330658E-01,6.473105E-01,5.331070E-01,3.978803E-01,2.624136E-01,1.510470E-01,7.632338E-02,3.461478E-02,1.453884E-02,5.870634E-03,2.287173E-03,8.109955E-04,2.397257E-04,5.390830E-05,7.039347E-06,2.956640E-08
166.39999,-45.60000,0.00000,8.863733E-01,8.668559E-01,8.387852E-01,7.981871E-01,7.395452E-01,6.564686E-01,5.451764E-01,4.114234E-01,2.748148E-01,1.604262E-01,8.253904E-02,3.867629E-02,1.731762E-02,7.656601E-03,3.272590E-03,1.269842E-03,4.150287E-04,1.056727E-04,1.813927E-05,7.223957E-07
