#,,,,,"generated_by='OpenQuake engine 3.11.0', start_date='2021-07-15T04:45:18', checksum=2366342461, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.01,PGA-0.004,PGA-0.002,PGA-0.00099
166.20000,-46.00000,2.155897E-01,3.251676E-01,4.434478E-01,6.050261E-01
166.20000,-45.90000,2.280304E-01,3.575452E-01,5.079131E-01,7.219416E-01
166.20000,-45.80000,2.467140E-01,4.034001E-01,5.828170E-01,8.340672E-01
166.20000,-45.70000,2.724748E-01,4.832607E-01,7.250497E-01,1.032820E+00
166.30000,-46.10000,2.047707E-01,3.008051E-01,3.983422E-01,5.271729E-01
166.30000,-46.00000,2.125235E-01,3.154871E-01,4.225802E-01,5.658463E-01
166.30000,-45.90000,2.248250E-01,3.415150E-01,4.667645E-01,6.346005E-01
166.30000,-45.80000,2.464918E-01,3.951647E-01,5.612490E-01,7.799259E-01
166.30000,-45.70000,2.687908E-01,4.499479E-01,6.528765E-01,9.181778E-01
166.30000,-45.60000,2.919781E-01,5.082456E-01,7.439511E-01,1.036528E+00
166.40000,-46.20000,1.951719E-01,2.837352E-01,3.708875E-01,4.801795E-01
166.40000,-46.10000,2.003205E-01,2.916866E-01,3.828442E-01,5.002964E-01
166.40000,-46.00000,2.085219E-01,3.054247E-01,4.037997E-01,5.336571E-01
166.40000,-45.90000,2.202567E-01,3.251730E-01,4.325118E-01,5.745149E-01
166.40000,-45.80000,2.382169E-01,3.613220E-01,4.892542E-01,6.539081E-01
166.40000,-45.70000,2.609349E-01,4.074857E-01,5.633132E-01,7.634665E-01
166.40000,-45.60000,2.932115E-01,4.781732E-01,6.711566E-01,9.195544E-01
166.40000,-45.50000,3.352764E-01,5.880944E-01,8.508247E-01,1.154348E+00
166.50000,-46.30000,1.849725E-01,2.682153E-01,3.490944E-01,4.442791E-01
166.50000,-46.20000,1.895279E-01,2.741585E-01,3.568724E-01,4.575538E-01
166.50000,-46.10000,1.956295E-01,2.830015E-01,3.691314E-01,4.772280E-01
166.50000,-46.00000,2.036077E-01,2.945077E-01,3.850470E-01,5.015985E-01
166.50000,-45.90000,2.158614E-01,3.127186E-01,4.097968E-01,5.366707E-01
166.50000,-45.80000,2.308987E-01,3.378706E-01,4.434575E-01,5.816898E-01
166.50000,-45.70000,2.531004E-01,3.764913E-01,5.003066E-01,6.570286E-01
166.50000,-45.60000,2.878697E-01,4.434073E-01,5.995336E-01,7.985418E-01
166.50000,-45.50000,3.400962E-01,5.698620E-01,7.994899E-01,1.064267E+00
166.50000,-45.40000,3.895963E-01,7.085985E-01,1.009196E+00,1.371517E+00
166.60000,-46.60000,1.612850E-01,2.373467E-01,3.082623E-01,3.920181E-01
166.60000,-46.30000,1.784019E-01,2.586184E-01,3.366986E-01,4.267137E-01
166.60000,-46.20000,1.835245E-01,2.645091E-01,3.435198E-01,4.365729E-01
166.60000,-46.10000,1.899413E-01,2.729252E-01,3.541502E-01,4.532038E-01
166.60000,-46.00000,1.988002E-01,2.849114E-01,3.695579E-01,4.757029E-01
166.60000,-45.90000,2.105798E-01,3.010530E-01,3.903828E-01,5.046321E-01
166.60000,-45.80000,2.257193E-01,3.232988E-01,4.184355E-01,5.415275E-01
166.60000,-45.70000,2.469052E-01,3.579176E-01,4.650893E-01,6.028134E-01
166.60000,-45.60000,2.797576E-01,4.175790E-01,5.551748E-01,7.253026E-01
166.60000,-45.50000,3.205739E-01,5.059128E-01,6.871217E-01,9.162775E-01
166.60000,-45.40000,3.722911E-01,6.400654E-01,9.108601E-01,1.238504E+00
166.60000,-45.30000,4.156470E-01,7.652059E-01,1.094266E+00,1.487662E+00
166.70000,-46.70000,1.459301E-01,2.155848E-01,2.773329E-01,3.547752E-01
166.70000,-46.60000,1.534321E-01,2.257178E-01,2.911952E-01,3.708864E-01
166.70000,-46.50000,1.602429E-01,2.351664E-01,3.055150E-01,3.895866E-01
166.70000,-46.40000,1.662950E-01,2.440884E-01,3.203025E-01,4.149985E-01
166.70000,-46.30000,1.715810E-01,2.492681E-01,3.245430E-01,4.135968E-01
166.70000,-46.20000,1.771597E-01,2.548432E-01,3.299395E-01,4.178509E-01
166.70000,-46.10000,1.840775E-01,2.631270E-01,3.402913E-01,4.314759E-01
166.70000,-46.00000,1.932926E-01,2.750255E-01,3.547631E-01,4.521150E-01
166.70000,-45.90000,2.055631E-01,2.912237E-01,3.748084E-01,4.791527E-01
166.70000,-45.80000,2.216146E-01,3.135987E-01,4.028277E-01,5.165401E-01
166.70000,-45.70000,2.420137E-01,3.466009E-01,4.461795E-01,5.744973E-01
166.70000,-45.60000,2.686836E-01,3.927443E-01,5.162209E-01,6.712748E-01
166.70000,-45.50000,3.023722E-01,4.626953E-01,6.300537E-01,8.529974E-01
166.70000,-45.40000,3.467182E-01,5.619143E-01,7.862862E-01,1.062465E+00
166.70000,-45.30000,4.126362E-01,7.451676E-01,1.070239E+00,1.464094E+00
166.70000,-45.20000,4.030953E-01,7.111575E-01,1.009700E+00,1.373524E+00
166.70000,-45.10000,3.416042E-01,5.528767E-01,7.779610E-01,1.059328E+00
166.80000,-46.70000,1.384866E-01,2.033526E-01,2.629973E-01,3.381345E-01
166.80000,-46.60000,1.456923E-01,2.142818E-01,2.757173E-01,3.528489E-01
166.80000,-46.50000,1.522841E-01,2.232431E-01,2.878041E-01,3.670727E-01
166.80000,-46.40000,1.584900E-01,2.318927E-01,3.017501E-01,3.873900E-01
166.80000,-46.30000,1.645697E-01,2.398316E-01,3.132758E-01,4.046050E-01
166.80000,-46.20000,1.706420E-01,2.455163E-01,3.172869E-01,4.027109E-01
166.80000,-46.10000,1.780246E-01,2.536576E-01,3.263817E-01,4.123956E-01
166.80000,-46.00000,1.877217E-01,2.656507E-01,3.413805E-01,4.311360E-01
166.80000,-45.90000,2.005201E-01,2.822440E-01,3.613796E-01,4.577335E-01
166.80000,-45.80000,2.175502E-01,3.055010E-01,3.907473E-01,4.977687E-01
166.80000,-45.70000,2.364013E-01,3.357517E-01,4.301417E-01,5.517426E-01
166.80000,-45.60000,2.602668E-01,3.754500E-01,4.884386E-01,6.319391E-01
166.80000,-45.50000,2.879319E-01,4.266976E-01,5.687597E-01,7.528336E-01
166.80000,-45.40000,3.255838E-01,5.085262E-01,6.996357E-01,9.474106E-01
166.80000,-45.30000,3.660694E-01,6.059055E-01,8.612424E-01,1.171916E+00
166.80000,-45.20000,3.982450E-01,6.960061E-01,9.991252E-01,1.378413E+00
166.80000,-45.10000,3.796753E-01,6.532488E-01,9.354344E-01,1.289144E+00
166.90000,-46.70000,1.301089E-01,1.916890E-01,2.494283E-01,3.200021E-01
166.90000,-46.60000,1.380802E-01,2.019664E-01,2.613227E-01,3.360395E-01
166.90000,-46.50000,1.445437E-01,2.112892E-01,2.719231E-01,3.482970E-01
166.90000,-46.40000,1.507869E-01,2.201316E-01,2.839418E-01,3.634143E-01
166.90000,-46.30000,1.572946E-01,2.290768E-01,2.987447E-01,3.870571E-01
166.90000,-46.20000,1.640749E-01,2.365746E-01,3.063836E-01,3.923655E-01
166.90000,-46.10000,1.719740E-01,2.447765E-01,3.139554E-01,3.966302E-01
166.90000,-46.00000,1.820706E-01,2.567390E-01,3.282792E-01,4.127320E-01
166.90000,-45.90000,1.953964E-01,2.740685E-01,3.500793E-01,4.408044E-01
166.90000,-45.80000,2.122124E-01,2.970428E-01,3.791126E-01,4.807943E-01
166.90000,-45.70000,2.309918E-01,3.258460E-01,4.163417E-01,5.322886E-01
166.90000,-45.60000,2.517801E-01,3.591973E-01,4.630275E-01,5.961731E-01
166.90000,-45.50000,2.759975E-01,4.009733E-01,5.273299E-01,6.886382E-01
166.90000,-45.40000,3.033757E-01,4.534482E-01,6.085767E-01,8.145828E-01
166.90000,-45.30000,3.304640E-01,5.087979E-01,6.916291E-01,9.277230E-01
166.90000,-45.20000,3.570870E-01,5.708016E-01,7.913077E-01,1.060855E+00
